forecast_date,target,target_end_date,location,type,quantile,value
2021-05-17,1 wk ahead inc case,2021-05-22,06,quantile,0.025,5083
2021-05-17,2 wk ahead inc case,2021-05-29,06,quantile,0.025,3362
2021-05-17,3 wk ahead inc case,2021-06-05,06,quantile,0.025,2239
2021-05-17,4 wk ahead inc case,2021-06-12,06,quantile,0.025,1377
2021-05-17,1 wk ahead inc case,2021-05-22,06,quantile,0.1,6382
2021-05-17,2 wk ahead inc case,2021-05-29,06,quantile,0.1,4616
2021-05-17,3 wk ahead inc case,2021-06-05,06,quantile,0.1,3344
2021-05-17,4 wk ahead inc case,2021-06-12,06,quantile,0.1,2344
2021-05-17,1 wk ahead inc case,2021-05-22,06,quantile,0.25,7544
2021-05-17,2 wk ahead inc case,2021-05-29,06,quantile,0.25,5738
2021-05-17,3 wk ahead inc case,2021-06-05,06,quantile,0.25,4332
2021-05-17,4 wk ahead inc case,2021-06-12,06,quantile,0.25,3209
2021-05-17,1 wk ahead inc case,2021-05-22,06,quantile,0.5,8835
2021-05-17,2 wk ahead inc case,2021-05-29,06,quantile,0.5,6985
2021-05-17,3 wk ahead inc case,2021-06-05,06,quantile,0.5,5431
2021-05-17,4 wk ahead inc case,2021-06-12,06,quantile,0.5,4171
2021-05-17,1 wk ahead inc case,2021-05-22,06,quantile,0.75,10125
2021-05-17,2 wk ahead inc case,2021-05-29,06,quantile,0.75,8231
2021-05-17,3 wk ahead inc case,2021-06-05,06,quantile,0.75,6529
2021-05-17,4 wk ahead inc case,2021-06-12,06,quantile,0.75,5133
2021-05-17,1 wk ahead inc case,2021-05-22,06,quantile,0.9,11287
2021-05-17,2 wk ahead inc case,2021-05-29,06,quantile,0.9,9353
2021-05-17,3 wk ahead inc case,2021-06-05,06,quantile,0.9,7517
2021-05-17,4 wk ahead inc case,2021-06-12,06,quantile,0.9,5998
2021-05-17,1 wk ahead inc case,2021-05-22,06,quantile,0.975,12586
2021-05-17,2 wk ahead inc case,2021-05-29,06,quantile,0.975,10607
2021-05-17,3 wk ahead inc case,2021-06-05,06,quantile,0.975,8622
2021-05-17,4 wk ahead inc case,2021-06-12,06,quantile,0.975,6965
2021-05-17,1 wk ahead inc case,2021-05-22,06,point,NA,8835
2021-05-17,2 wk ahead inc case,2021-05-29,06,point,NA,6985
2021-05-17,3 wk ahead inc case,2021-06-05,06,point,NA,5431
2021-05-17,4 wk ahead inc case,2021-06-12,06,point,NA,4171
2021-05-17,1 day ahead inc hosp,2021-05-18,06,quantile,0.01,37.117
2021-05-17,2 day ahead inc hosp,2021-05-19,06,quantile,0.01,31.971
2021-05-17,3 day ahead inc hosp,2021-05-20,06,quantile,0.01,26.902
2021-05-17,4 day ahead inc hosp,2021-05-21,06,quantile,0.01,21.929
2021-05-17,5 day ahead inc hosp,2021-05-22,06,quantile,0.01,17.066
2021-05-17,6 day ahead inc hosp,2021-05-23,06,quantile,0.01,12.32
2021-05-17,7 day ahead inc hosp,2021-05-24,06,quantile,0.01,7.693
2021-05-17,8 day ahead inc hosp,2021-05-25,06,quantile,0.01,3.188
2021-05-17,9 day ahead inc hosp,2021-05-26,06,quantile,0.01,0
2021-05-17,10 day ahead inc hosp,2021-05-27,06,quantile,0.01,0
2021-05-17,11 day ahead inc hosp,2021-05-28,06,quantile,0.01,0
2021-05-17,12 day ahead inc hosp,2021-05-29,06,quantile,0.01,0
2021-05-17,13 day ahead inc hosp,2021-05-30,06,quantile,0.01,0
2021-05-17,14 day ahead inc hosp,2021-05-31,06,quantile,0.01,0
2021-05-17,15 day ahead inc hosp,2021-06-01,06,quantile,0.01,0
2021-05-17,16 day ahead inc hosp,2021-06-02,06,quantile,0.01,0
2021-05-17,17 day ahead inc hosp,2021-06-03,06,quantile,0.01,0
2021-05-17,18 day ahead inc hosp,2021-06-04,06,quantile,0.01,0
