forecast_date,target,target_end_date,location,type,quantile,value
2020-11-23,1 wk ahead inc case,2020-11-28,06,quantile,0.025,74534
2020-11-23,2 wk ahead inc case,2020-12-05,06,quantile,0.025,98227
2020-11-23,3 wk ahead inc case,2020-12-12,06,quantile,0.025,128011
2020-11-23,4 wk ahead inc case,2020-12-19,06,quantile,0.025,164901
2020-11-23,1 wk ahead inc case,2020-11-28,06,quantile,0.1,78389
2020-11-23,2 wk ahead inc case,2020-12-05,06,quantile,0.1,102631
2020-11-23,3 wk ahead inc case,2020-12-12,06,quantile,0.1,133026
2020-11-23,4 wk ahead inc case,2020-12-19,06,quantile,0.1,170589
2020-11-23,1 wk ahead inc case,2020-11-28,06,quantile,0.25,81838
2020-11-23,2 wk ahead inc case,2020-12-05,06,quantile,0.25,106572
2020-11-23,3 wk ahead inc case,2020-12-12,06,quantile,0.25,137514
2020-11-23,4 wk ahead inc case,2020-12-19,06,quantile,0.25,175678
2020-11-23,1 wk ahead inc case,2020-11-28,06,quantile,0.5,85671
2020-11-23,2 wk ahead inc case,2020-12-05,06,quantile,0.5,110951
2020-11-23,3 wk ahead inc case,2020-12-12,06,quantile,0.5,142500
2020-11-23,4 wk ahead inc case,2020-12-19,06,quantile,0.5,181332
2020-11-23,1 wk ahead inc case,2020-11-28,06,quantile,0.75,89504
2020-11-23,2 wk ahead inc case,2020-12-05,06,quantile,0.75,115329
2020-11-23,3 wk ahead inc case,2020-12-12,06,quantile,0.75,147486
2020-11-23,4 wk ahead inc case,2020-12-19,06,quantile,0.75,186987
2020-11-23,1 wk ahead inc case,2020-11-28,06,quantile,0.9,92953
2020-11-23,2 wk ahead inc case,2020-12-05,06,quantile,0.9,119270
2020-11-23,3 wk ahead inc case,2020-12-12,06,quantile,0.9,151973
2020-11-23,4 wk ahead inc case,2020-12-19,06,quantile,0.9,192076
2020-11-23,1 wk ahead inc case,2020-11-28,06,quantile,0.975,96808
2020-11-23,2 wk ahead inc case,2020-12-05,06,quantile,0.975,123674
2020-11-23,3 wk ahead inc case,2020-12-12,06,quantile,0.975,156988
2020-11-23,4 wk ahead inc case,2020-12-19,06,quantile,0.975,197763
2020-11-23,1 wk ahead inc case,2020-11-28,06,point,NA,85671
2020-11-23,2 wk ahead inc case,2020-12-05,06,point,NA,110951
2020-11-23,3 wk ahead inc case,2020-12-12,06,point,NA,142500
2020-11-23,4 wk ahead inc case,2020-12-19,06,point,NA,181332
2020-11-23,1 day ahead inc hosp,2020-11-24,06,quantile,0.01,831.1
2020-11-23,2 day ahead inc hosp,2020-11-25,06,quantile,0.01,864.9
2020-11-23,3 day ahead inc hosp,2020-11-26,06,quantile,0.01,899.8
2020-11-23,4 day ahead inc hosp,2020-11-27,06,quantile,0.01,935.9
2020-11-23,5 day ahead inc hosp,2020-11-28,06,quantile,0.01,973.2
2020-11-23,6 day ahead inc hosp,2020-11-29,06,quantile,0.01,1011.7
2020-11-23,7 day ahead inc hosp,2020-11-30,06,quantile,0.01,1051.6
2020-11-23,8 day ahead inc hosp,2020-12-01,06,quantile,0.01,1092.7
2020-11-23,9 day ahead inc hosp,2020-12-02,06,quantile,0.01,1135.2
2020-11-23,10 day ahead inc hosp,2020-12-03,06,quantile,0.01,1179.2
2020-11-23,11 day ahead inc hosp,2020-12-04,06,quantile,0.01,1224.5
2020-11-23,12 day ahead inc hosp,2020-12-05,06,quantile,0.01,1271.3
2020-11-23,13 day ahead inc hosp,2020-12-06,06,quantile,0.01,1319.6
2020-11-23,14 day ahead inc hosp,2020-12-07,06,quantile,0.01,1369.4
2020-11-23,15 day ahead inc hosp,2020-12-08,06,quantile,0.01,1420.7
2020-11-23,16 day ahead inc hosp,2020-12-09,06,quantile,0.01,1473.6
2020-11-23,17 day ahead inc hosp,2020-12-10,06,quantile,0.01,1528.1
2020-11-23,18 day ahead inc hosp,2020-12-11,06,quantile,0.01,1584.3
2020-11-23,19 day ahead inc hosp,2020-12-12,06,quantile,0.01,1642
2020-11-23,20 day ahead inc hosp,2020-12-13,06,quantile,0.01,1701.5
2020-11-23,21 day ahead inc hosp,2020-12-14,06,quantile,0.01,1762.6
2020-11-23,22 day ahead inc hosp,2020-12-15,06,quantile,0.01,1825.4
2020-11-23,23 day ahead inc hosp,2020-12-16,06,quantile,0.01,1889.9
2020-11-23,24 day ahead inc hosp,2020-12-17,06,quantile,0.01,1956.2
2020-11-23,25 day ahead inc hosp,2020-12-18,06,quantile,0.01,2024.1
2020-11-23,26 day ahead inc hosp,2020-12-19,06,quantile,0.01,2093.9
2020-11-23,27 day ahead inc hosp,2020-12-20,06,quantile,0.01,2165.3
2020-11-23,28 day ahead inc hosp,2020-12-21,06,quantile,0.01,2238.6
2020-11-23,1 day ahead inc hosp,2020-11-24,06,quantile,0.025,845.3
2020-11-23,2 day ahead inc hosp,2020-11-25,06,quantile,0.025,879.3
2020-11-23,3 day ahead inc hosp,2020-11-26,06,quantile,0.025,914.4
2020-11-23,4 day ahead inc hosp,2020-11-27,06,quantile,0.025,950.7
2020-11-23,5 day ahead inc hosp,2020-11-28,06,quantile,0.025,988.2
2020-11-23,6 day ahead inc hosp,2020-11-29,06,quantile,0.025,1027
2020-11-23,7 day ahead inc hosp,2020-11-30,06,quantile,0.025,1067.1
2020-11-23,8 day ahead inc hosp,2020-12-01,06,quantile,0.025,1108.5
2020-11-23,9 day ahead inc hosp,2020-12-02,06,quantile,0.025,1151.2
2020-11-23,10 day ahead inc hosp,2020-12-03,06,quantile,0.025,1195.4
2020-11-23,11 day ahead inc hosp,2020-12-04,06,quantile,0.025,1241
2020-11-23,12 day ahead inc hosp,2020-12-05,06,quantile,0.025,1288.1
2020-11-23,13 day ahead inc hosp,2020-12-06,06,quantile,0.025,1336.6
2020-11-23,14 day ahead inc hosp,2020-12-07,06,quantile,0.025,1386.7
2020-11-23,15 day ahead inc hosp,2020-12-08,06,quantile,0.025,1438.3
2020-11-23,16 day ahead inc hosp,2020-12-09,06,quantile,0.025,1491.5
2020-11-23,17 day ahead inc hosp,2020-12-10,06,quantile,0.025,1546.3
2020-11-23,18 day ahead inc hosp,2020-12-11,06,quantile,0.025,1602.7
2020-11-23,19 day ahead inc hosp,2020-12-12,06,quantile,0.025,1660.7
2020-11-23,20 day ahead inc hosp,2020-12-13,06,quantile,0.025,1720.5
2020-11-23,21 day ahead inc hosp,2020-12-14,06,quantile,0.025,1781.9
2020-11-23,22 day ahead inc hosp,2020-12-15,06,quantile,0.025,1845
2020-11-23,23 day ahead inc hosp,2020-12-16,06,quantile,0.025,1909.9
2020-11-23,24 day ahead inc hosp,2020-12-17,06,quantile,0.025,1976.5
2020-11-23,25 day ahead inc hosp,2020-12-18,06,quantile,0.025,2044.8
2020-11-23,26 day ahead inc hosp,2020-12-19,06,quantile,0.025,2114.8
2020-11-23,27 day ahead inc hosp,2020-12-20,06,quantile,0.025,2186.7
2020-11-23,28 day ahead inc hosp,2020-12-21,06,quantile,0.025,2260.2
2020-11-23,1 day ahead inc hosp,2020-11-24,06,quantile,0.05,857.6
2020-11-23,2 day ahead inc hosp,2020-11-25,06,quantile,0.05,891.7
2020-11-23,3 day ahead inc hosp,2020-11-26,06,quantile,0.05,927
2020-11-23,4 day ahead inc hosp,2020-11-27,06,quantile,0.05,963.5
2020-11-23,5 day ahead inc hosp,2020-11-28,06,quantile,0.05,1001.2
2020-11-23,6 day ahead inc hosp,2020-11-29,06,quantile,0.05,1040.2
2020-11-23,7 day ahead inc hosp,2020-11-30,06,quantile,0.05,1080.4
2020-11-23,8 day ahead inc hosp,2020-12-01,06,quantile,0.05,1122
2020-11-23,9 day ahead inc hosp,2020-12-02,06,quantile,0.05,1165
2020-11-23,10 day ahead inc hosp,2020-12-03,06,quantile,0.05,1209.4
2020-11-23,11 day ahead inc hosp,2020-12-04,06,quantile,0.05,1255.2
2020-11-23,12 day ahead inc hosp,2020-12-05,06,quantile,0.05,1302.5
