forecast_date,target,target_end_date,location,type,quantile,value
2021-03-29,1 wk ahead inc case,2021-04-03,06,quantile,0.025,10217
2021-03-29,2 wk ahead inc case,2021-04-10,06,quantile,0.025,7117
2021-03-29,3 wk ahead inc case,2021-04-17,06,quantile,0.025,4973
2021-03-29,4 wk ahead inc case,2021-04-24,06,quantile,0.025,3292
2021-03-29,1 wk ahead inc case,2021-04-03,06,quantile,0.1,12114
2021-03-29,2 wk ahead inc case,2021-04-10,06,quantile,0.1,8950
2021-03-29,3 wk ahead inc case,2021-04-17,06,quantile,0.1,6587
2021-03-29,4 wk ahead inc case,2021-04-24,06,quantile,0.1,4702
2021-03-29,1 wk ahead inc case,2021-04-03,06,quantile,0.25,13811
2021-03-29,2 wk ahead inc case,2021-04-10,06,quantile,0.25,10590
2021-03-29,3 wk ahead inc case,2021-04-17,06,quantile,0.25,8031
2021-03-29,4 wk ahead inc case,2021-04-24,06,quantile,0.25,5964
2021-03-29,1 wk ahead inc case,2021-04-03,06,quantile,0.5,15697
2021-03-29,2 wk ahead inc case,2021-04-10,06,quantile,0.5,12413
2021-03-29,3 wk ahead inc case,2021-04-17,06,quantile,0.5,9636
2021-03-29,4 wk ahead inc case,2021-04-24,06,quantile,0.5,7366
2021-03-29,1 wk ahead inc case,2021-04-03,06,quantile,0.75,17582
2021-03-29,2 wk ahead inc case,2021-04-10,06,quantile,0.75,14236
2021-03-29,3 wk ahead inc case,2021-04-17,06,quantile,0.75,11240
2021-03-29,4 wk ahead inc case,2021-04-24,06,quantile,0.75,8768
2021-03-29,1 wk ahead inc case,2021-04-03,06,quantile,0.9,19279
2021-03-29,2 wk ahead inc case,2021-04-10,06,quantile,0.9,15876
2021-03-29,3 wk ahead inc case,2021-04-17,06,quantile,0.9,12685
2021-03-29,4 wk ahead inc case,2021-04-24,06,quantile,0.9,10029
2021-03-29,1 wk ahead inc case,2021-04-03,06,quantile,0.975,21176
2021-03-29,2 wk ahead inc case,2021-04-10,06,quantile,0.975,17709
2021-03-29,3 wk ahead inc case,2021-04-17,06,quantile,0.975,14299
2021-03-29,4 wk ahead inc case,2021-04-24,06,quantile,0.975,11439
2021-03-29,1 wk ahead inc case,2021-04-03,06,point,NA,15697
2021-03-29,2 wk ahead inc case,2021-04-10,06,point,NA,12413
2021-03-29,3 wk ahead inc case,2021-04-17,06,point,NA,9636
2021-03-29,4 wk ahead inc case,2021-04-24,06,point,NA,7366
2021-03-29,1 day ahead inc hosp,2021-03-30,06,quantile,0.01,79.162
2021-03-29,2 day ahead inc hosp,2021-03-31,06,quantile,0.01,71.886
2021-03-29,3 day ahead inc hosp,2021-04-01,06,quantile,0.01,64.723
2021-03-29,4 day ahead inc hosp,2021-04-02,06,quantile,0.01,57.694
2021-03-29,5 day ahead inc hosp,2021-04-03,06,quantile,0.01,50.813
2021-03-29,6 day ahead inc hosp,2021-04-04,06,quantile,0.01,44.087
2021-03-29,7 day ahead inc hosp,2021-04-05,06,quantile,0.01,37.521
2021-03-29,8 day ahead inc hosp,2021-04-06,06,quantile,0.01,31.117
2021-03-29,9 day ahead inc hosp,2021-04-07,06,quantile,0.01,24.875
2021-03-29,10 day ahead inc hosp,2021-04-08,06,quantile,0.01,18.794
2021-03-29,11 day ahead inc hosp,2021-04-09,06,quantile,0.01,12.875
2021-03-29,12 day ahead inc hosp,2021-04-10,06,quantile,0.01,7.115
2021-03-29,13 day ahead inc hosp,2021-04-11,06,quantile,0.01,1.512
2021-03-29,14 day ahead inc hosp,2021-04-12,06,quantile,0.01,0
2021-03-29,15 day ahead inc hosp,2021-04-13,06,quantile,0.01,0
2021-03-29,16 day ahead inc hosp,2021-04-14,06,quantile,0.01,0
2021-03-29,17 day ahead inc hosp,2021-04-15,06,quantile,0.01,0
2021-03-29,18 day ahead inc hosp,2021-04-16,06,quantile,0.01,0
2021-03-29,19 day ahead inc hosp,2021-04-17,06,quantile,0.01,0
2021-03-29,20 day ahead inc hosp,2021-04-18,06,quantile,0.01,0
2021-03-29,21 day ahead inc hosp,2021-04-19,06,quantile,0.01,0
2021-03-29,22 day ahead inc hosp,2021-04-20,06,quantile,0.01,0
2021-03-29,23 day ahead inc hosp,2021-04-21,06,quantile,0.01,0
2021-03-29,24 day ahead inc hosp,2021-04-22,06,quantile,0.01,0
2021-03-29,25 day ahead inc hosp,2021-04-23,06,quantile,0.01,0
2021-03-29,26 day ahead inc hosp,2021-04-24,06,quantile,0.01,0
2021-03-29,27 day ahead inc hosp,2021-04-25,06,quantile,0.01,0
2021-03-29,28 day ahead inc hosp,2021-04-26,06,quantile,0.01,0
2021-03-29,1 day ahead inc hosp,2021-03-30,06,quantile,0.025,103.286
2021-03-29,2 day ahead inc hosp,2021-03-31,06,quantile,0.025,95.988
2021-03-29,3 day ahead inc hosp,2021-04-01,06,quantile,0.025,88.804
2021-03-29,4 day ahead inc hosp,2021-04-02,06,quantile,0.025,81.754
2021-03-29,5 day ahead inc hosp,2021-04-03,06,quantile,0.025,74.852
2021-03-29,6 day ahead inc hosp,2021-04-04,06,quantile,0.025,68.106
2021-03-29,7 day ahead inc hosp,2021-04-05,06,quantile,0.025,61.521
2021-03-29,8 day ahead inc hosp,2021-04-06,06,quantile,0.025,55.097
2021-03-29,9 day ahead inc hosp,2021-04-07,06,quantile,0.025,48.836
2021-03-29,10 day ahead inc hosp,2021-04-08,06,quantile,0.025,42.737
2021-03-29,11 day ahead inc hosp,2021-04-09,06,quantile,0.025,36.8
2021-03-29,12 day ahead inc hosp,2021-04-10,06,quantile,0.025,31.022
2021-03-29,13 day ahead inc hosp,2021-04-11,06,quantile,0.025,25.403
2021-03-29,14 day ahead inc hosp,2021-04-12,06,quantile,0.025,19.94
2021-03-29,15 day ahead inc hosp,2021-04-13,06,quantile,0.025,14.631
2021-03-29,16 day ahead inc hosp,2021-04-14,06,quantile,0.025,9.474
2021-03-29,17 day ahead inc hosp,2021-04-15,06,quantile,0.025,4.467
2021-03-29,18 day ahead inc hosp,2021-04-16,06,quantile,0.025,0
2021-03-29,19 day ahead inc hosp,2021-04-17,06,quantile,0.025,0
2021-03-29,20 day ahead inc hosp,2021-04-18,06,quantile,0.025,0
2021-03-29,21 day ahead inc hosp,2021-04-19,06,quantile,0.025,0
2021-03-29,22 day ahead inc hosp,2021-04-20,06,quantile,0.025,0
2021-03-29,23 day ahead inc hosp,2021-04-21,06,quantile,0.025,0
2021-03-29,24 day ahead inc hosp,2021-04-22,06,quantile,0.025,0
