forecast_date,target,target_end_date,location,type,quantile,value
2021-01-25,1 wk ahead inc case,2021-01-30,06,quantile,0.025,151117
2021-01-25,2 wk ahead inc case,2021-02-06,06,quantile,0.025,119146
2021-01-25,3 wk ahead inc case,2021-02-13,06,quantile,0.025,93069
2021-01-25,4 wk ahead inc case,2021-02-20,06,quantile,0.025,72171
2021-01-25,1 wk ahead inc case,2021-01-30,06,quantile,0.1,158285
2021-01-25,2 wk ahead inc case,2021-02-06,06,quantile,0.1,125558
2021-01-25,3 wk ahead inc case,2021-02-13,06,quantile,0.1,98788
2021-01-25,4 wk ahead inc case,2021-02-20,06,quantile,0.1,77262
2021-01-25,1 wk ahead inc case,2021-01-30,06,quantile,0.25,164699
2021-01-25,2 wk ahead inc case,2021-02-06,06,quantile,0.25,131296
2021-01-25,3 wk ahead inc case,2021-02-13,06,quantile,0.25,103907
2021-01-25,4 wk ahead inc case,2021-02-20,06,quantile,0.25,81818
2021-01-25,1 wk ahead inc case,2021-01-30,06,quantile,0.5,171826
2021-01-25,2 wk ahead inc case,2021-02-06,06,quantile,0.5,137671
2021-01-25,3 wk ahead inc case,2021-02-13,06,quantile,0.5,109593
2021-01-25,4 wk ahead inc case,2021-02-20,06,quantile,0.5,86880
2021-01-25,1 wk ahead inc case,2021-01-30,06,quantile,0.75,178953
2021-01-25,2 wk ahead inc case,2021-02-06,06,quantile,0.75,144047
2021-01-25,3 wk ahead inc case,2021-02-13,06,quantile,0.75,115279
2021-01-25,4 wk ahead inc case,2021-02-20,06,quantile,0.75,91942
2021-01-25,1 wk ahead inc case,2021-01-30,06,quantile,0.9,185367
2021-01-25,2 wk ahead inc case,2021-02-06,06,quantile,0.9,149785
2021-01-25,3 wk ahead inc case,2021-02-13,06,quantile,0.9,120397
2021-01-25,4 wk ahead inc case,2021-02-20,06,quantile,0.9,96498
2021-01-25,1 wk ahead inc case,2021-01-30,06,quantile,0.975,192535
2021-01-25,2 wk ahead inc case,2021-02-06,06,quantile,0.975,156197
2021-01-25,3 wk ahead inc case,2021-02-13,06,quantile,0.975,126117
2021-01-25,4 wk ahead inc case,2021-02-20,06,quantile,0.975,101589
2021-01-25,1 wk ahead inc case,2021-01-30,06,point,NA,171826
2021-01-25,2 wk ahead inc case,2021-02-06,06,point,NA,137671
2021-01-25,3 wk ahead inc case,2021-02-13,06,point,NA,109593
2021-01-25,4 wk ahead inc case,2021-02-20,06,point,NA,86880
2021-01-25,1 day ahead inc hosp,2021-01-26,06,quantile,0.01,1327
2021-01-25,2 day ahead inc hosp,2021-01-27,06,quantile,0.01,1281
2021-01-25,3 day ahead inc hosp,2021-01-28,06,quantile,0.01,1236.1
2021-01-25,4 day ahead inc hosp,2021-01-29,06,quantile,0.01,1192.4
2021-01-25,5 day ahead inc hosp,2021-01-30,06,quantile,0.01,1149.9
2021-01-25,6 day ahead inc hosp,2021-01-31,06,quantile,0.01,1108.4
2021-01-25,7 day ahead inc hosp,2021-02-01,06,quantile,0.01,1068.2
2021-01-25,8 day ahead inc hosp,2021-02-02,06,quantile,0.01,1029
2021-01-25,9 day ahead inc hosp,2021-02-03,06,quantile,0.01,991
2021-01-25,10 day ahead inc hosp,2021-02-04,06,quantile,0.01,954.1
2021-01-25,11 day ahead inc hosp,2021-02-05,06,quantile,0.01,918.2
2021-01-25,12 day ahead inc hosp,2021-02-06,06,quantile,0.01,883.4
2021-01-25,13 day ahead inc hosp,2021-02-07,06,quantile,0.01,849.6
2021-01-25,14 day ahead inc hosp,2021-02-08,06,quantile,0.01,816.9
2021-01-25,15 day ahead inc hosp,2021-02-09,06,quantile,0.01,785.1
2021-01-25,16 day ahead inc hosp,2021-02-10,06,quantile,0.01,754.2
2021-01-25,17 day ahead inc hosp,2021-02-11,06,quantile,0.01,724.3
2021-01-25,18 day ahead inc hosp,2021-02-12,06,quantile,0.01,695.3
2021-01-25,19 day ahead inc hosp,2021-02-13,06,quantile,0.01,667.1
2021-01-25,20 day ahead inc hosp,2021-02-14,06,quantile,0.01,639.9
2021-01-25,21 day ahead inc hosp,2021-02-15,06,quantile,0.01,613.5
2021-01-25,22 day ahead inc hosp,2021-02-16,06,quantile,0.01,587.8
2021-01-25,23 day ahead inc hosp,2021-02-17,06,quantile,0.01,563
2021-01-25,24 day ahead inc hosp,2021-02-18,06,quantile,0.01,539
2021-01-25,25 day ahead inc hosp,2021-02-19,06,quantile,0.01,515.7
2021-01-25,26 day ahead inc hosp,2021-02-20,06,quantile,0.01,493.1
2021-01-25,27 day ahead inc hosp,2021-02-21,06,quantile,0.01,471.3
2021-01-25,28 day ahead inc hosp,2021-02-22,06,quantile,0.01,450.1
2021-01-25,1 day ahead inc hosp,2021-01-26,06,quantile,0.025,1356.8
2021-01-25,2 day ahead inc hosp,2021-01-27,06,quantile,0.025,1310.8
2021-01-25,3 day ahead inc hosp,2021-01-28,06,quantile,0.025,1265.8
2021-01-25,4 day ahead inc hosp,2021-01-29,06,quantile,0.025,1222
2021-01-25,5 day ahead inc hosp,2021-01-30,06,quantile,0.025,1179.3
