forecast_date,target,target_end_date,location,type,quantile,value
2020-11-16,1 wk ahead inc case,2020-11-21,06,quantile,0.025,36752
2020-11-16,2 wk ahead inc case,2020-11-28,06,quantile,0.025,40937
2020-11-16,3 wk ahead inc case,2020-12-05,06,quantile,0.025,45434
2020-11-16,4 wk ahead inc case,2020-12-12,06,quantile,0.025,50246
2020-11-16,1 wk ahead inc case,2020-11-21,06,quantile,0.1,39527
2020-11-16,2 wk ahead inc case,2020-11-28,06,quantile,0.1,43856
2020-11-16,3 wk ahead inc case,2020-12-05,06,quantile,0.1,48501
2020-11-16,4 wk ahead inc case,2020-12-12,06,quantile,0.1,53464
2020-11-16,1 wk ahead inc case,2020-11-21,06,quantile,0.25,42010
2020-11-16,2 wk ahead inc case,2020-11-28,06,quantile,0.25,46468
2020-11-16,3 wk ahead inc case,2020-12-05,06,quantile,0.25,51245
2020-11-16,4 wk ahead inc case,2020-12-12,06,quantile,0.25,56343
2020-11-16,1 wk ahead inc case,2020-11-21,06,quantile,0.5,44768
2020-11-16,2 wk ahead inc case,2020-11-28,06,quantile,0.5,49370
2020-11-16,3 wk ahead inc case,2020-12-05,06,quantile,0.5,54294
2020-11-16,4 wk ahead inc case,2020-12-12,06,quantile,0.5,59543
2020-11-16,1 wk ahead inc case,2020-11-21,06,quantile,0.75,47527
2020-11-16,2 wk ahead inc case,2020-11-28,06,quantile,0.75,52272
2020-11-16,3 wk ahead inc case,2020-12-05,06,quantile,0.75,57343
2020-11-16,4 wk ahead inc case,2020-12-12,06,quantile,0.75,62742
2020-11-16,1 wk ahead inc case,2020-11-21,06,quantile,0.9,50009
2020-11-16,2 wk ahead inc case,2020-11-28,06,quantile,0.9,54884
2020-11-16,3 wk ahead inc case,2020-12-05,06,quantile,0.9,60087
2020-11-16,4 wk ahead inc case,2020-12-12,06,quantile,0.9,65621
2020-11-16,1 wk ahead inc case,2020-11-21,06,quantile,0.975,52784
2020-11-16,2 wk ahead inc case,2020-11-28,06,quantile,0.975,57803
2020-11-16,3 wk ahead inc case,2020-12-05,06,quantile,0.975,63154
2020-11-16,4 wk ahead inc case,2020-12-12,06,quantile,0.975,68839
2020-11-16,1 wk ahead inc case,2020-11-21,06,point,NA,44768
2020-11-16,2 wk ahead inc case,2020-11-28,06,point,NA,49370
2020-11-16,3 wk ahead inc case,2020-12-05,06,point,NA,54294
2020-11-16,4 wk ahead inc case,2020-12-12,06,point,NA,59543
2020-11-16,1 day ahead inc hosp,2020-11-17,06,quantile,0.01,518
2020-11-16,2 day ahead inc hosp,2020-11-18,06,quantile,0.01,526
2020-11-16,3 day ahead inc hosp,2020-11-19,06,quantile,0.01,534.1
2020-11-16,4 day ahead inc hosp,2020-11-20,06,quantile,0.01,542.3
2020-11-16,5 day ahead inc hosp,2020-11-21,06,quantile,0.01,550.6
2020-11-16,6 day ahead inc hosp,2020-11-22,06,quantile,0.01,559
2020-11-16,7 day ahead inc hosp,2020-11-23,06,quantile,0.01,567.4
2020-11-16,8 day ahead inc hosp,2020-11-24,06,quantile,0.01,575.9
2020-11-16,9 day ahead inc hosp,2020-11-25,06,quantile,0.01,584.6
2020-11-16,10 day ahead inc hosp,2020-11-26,06,quantile,0.01,593.3
2020-11-16,11 day ahead inc hosp,2020-11-27,06,quantile,0.01,602
2020-11-16,12 day ahead inc hosp,2020-11-28,06,quantile,0.01,610.9
2020-11-16,13 day ahead inc hosp,2020-11-29,06,quantile,0.01,619.9
2020-11-16,14 day ahead inc hosp,2020-11-30,06,quantile,0.01,628.9
2020-11-16,15 day ahead inc hosp,2020-12-01,06,quantile,0.01,638
2020-11-16,16 day ahead inc hosp,2020-12-02,06,quantile,0.01,647.2
2020-11-16,17 day ahead inc hosp,2020-12-03,06,quantile,0.01,656.5
2020-11-16,18 day ahead inc hosp,2020-12-04,06,quantile,0.01,665.9
2020-11-16,19 day ahead inc hosp,2020-12-05,06,quantile,0.01,675.4
2020-11-16,20 day ahead inc hosp,2020-12-06,06,quantile,0.01,684.9
2020-11-16,21 day ahead inc hosp,2020-12-07,06,quantile,0.01,694.5
2020-11-16,22 day ahead inc hosp,2020-12-08,06,quantile,0.01,704.2
2020-11-16,23 day ahead inc hosp,2020-12-09,06,quantile,0.01,714
2020-11-16,24 day ahead inc hosp,2020-12-10,06,quantile,0.01,723.9
2020-11-16,25 day ahead inc hosp,2020-12-11,06,quantile,0.01,733.8
2020-11-16,26 day ahead inc hosp,2020-12-12,06,quantile,0.01,743.8
2020-11-16,27 day ahead inc hosp,2020-12-13,06,quantile,0.01,753.9
2020-11-16,28 day ahead inc hosp,2020-12-14,06,quantile,0.01,764.1
2020-11-16,1 day ahead inc hosp,2020-11-17,06,quantile,0.025,529.5
2020-11-16,2 day ahead inc hosp,2020-11-18,06,quantile,0.025,537.7
2020-11-16,3 day ahead inc hosp,2020-11-19,06,quantile,0.025,545.8
2020-11-16,4 day ahead inc hosp,2020-11-20,06,quantile,0.025,554.1
2020-11-16,5 day ahead inc hosp,2020-11-21,06,quantile,0.025,562.4
2020-11-16,6 day ahead inc hosp,2020-11-22,06,quantile,0.025,570.9
2020-11-16,7 day ahead inc hosp,2020-11-23,06,quantile,0.025,579.4
2020-11-16,8 day ahead inc hosp,2020-11-24,06,quantile,0.025,588
2020-11-16,9 day ahead inc hosp,2020-11-25,06,quantile,0.025,596.6
2020-11-16,10 day ahead inc hosp,2020-11-26,06,quantile,0.025,605.4
2020-11-16,11 day ahead inc hosp,2020-11-27,06,quantile,0.025,614.2
2020-11-16,12 day ahead inc hosp,2020-11-28,06,quantile,0.025,623.2
2020-11-16,13 day ahead inc hosp,2020-11-29,06,quantile,0.025,632.2
2020-11-16,14 day ahead inc hosp,2020-11-30,06,quantile,0.025,641.3
2020-11-16,15 day ahead inc hosp,2020-12-01,06,quantile,0.025,650.5
2020-11-16,16 day ahead inc hosp,2020-12-02,06,quantile,0.025,659.8
2020-11-16,17 day ahead inc hosp,2020-12-03,06,quantile,0.025,669.1
2020-11-16,18 day ahead inc hosp,2020-12-04,06,quantile,0.025,678.6
2020-11-16,19 day ahead inc hosp,2020-12-05,06,quantile,0.025,688.1
2020-11-16,20 day ahead inc hosp,2020-12-06,06,quantile,0.025,697.7
2020-11-16,21 day ahead inc hosp,2020-12-07,06,quantile,0.025,707.4
2020-11-16,22 day ahead inc hosp,2020-12-08,06,quantile,0.025,717.2
2020-11-16,23 day ahead inc hosp,2020-12-09,06,quantile,0.025,727.1
2020-11-16,24 day ahead inc hosp,2020-12-10,06,quantile,0.025,737
2020-11-16,25 day ahead inc hosp,2020-12-11,06,quantile,0.025,747
2020-11-16,26 day ahead inc hosp,2020-12-12,06,quantile,0.025,757.1
2020-11-16,27 day ahead inc hosp,2020-12-13,06,quantile,0.025,767.3
2020-11-16,28 day ahead inc hosp,2020-12-14,06,quantile,0.025,777.5
2020-11-16,1 day ahead inc hosp,2020-11-17,06,quantile,0.05,539.5
2020-11-16,2 day ahead inc hosp,2020-11-18,06,quantile,0.05,547.7
2020-11-16,3 day ahead inc hosp,2020-11-19,06,quantile,0.05,555.9
2020-11-16,4 day ahead inc hosp,2020-11-20,06,quantile,0.05,564.2
2020-11-16,5 day ahead inc hosp,2020-11-21,06,quantile,0.05,572.6
2020-11-16,6 day ahead inc hosp,2020-11-22,06,quantile,0.05,581.1
2020-11-16,7 day ahead inc hosp,2020-11-23,06,quantile,0.05,589.6
2020-11-16,8 day ahead inc hosp,2020-11-24,06,quantile,0.05,598.3
2020-11-16,9 day ahead inc hosp,2020-11-25,06,quantile,0.05,607
2020-11-16,10 day ahead inc hosp,2020-11-26,06,quantile,0.05,615.8
2020-11-16,11 day ahead inc hosp,2020-11-27,06,quantile,0.05,624.7
2020-11-16,12 day ahead inc hosp,2020-11-28,06,quantile,0.05,633.7
2020-11-16,13 day ahead inc hosp,2020-11-29,06,quantile,0.05,642.8
2020-11-16,14 day ahead inc hosp,2020-11-30,06,quantile,0.05,652
2020-11-16,15 day ahead inc hosp,2020-12-01,06,quantile,0.05,661.2
2020-11-16,16 day ahead inc hosp,2020-12-02,06,quantile,0.05,670.6
2020-11-16,17 day ahead inc hosp,2020-12-03,06,quantile,0.05,680
2020-11-16,18 day ahead inc hosp,2020-12-04,06,quantile,0.05,689.5
2020-11-16,19 day ahead inc hosp,2020-12-05,06,quantile,0.05,699.1
2020-11-16,20 day ahead inc hosp,2020-12-06,06,quantile,0.05,708.8
2020-11-16,21 day ahead inc hosp,2020-12-07,06,quantile,0.05,718.5
2020-11-16,22 day ahead inc hosp,2020-12-08,06,quantile,0.05,728.4
2020-11-16,23 day ahead inc hosp,2020-12-09,06,quantile,0.05,738.3
2020-11-16,24 day ahead inc hosp,2020-12-10,06,quantile,0.05,748.3
2020-11-16,25 day ahead inc hosp,2020-12-11,06,quantile,0.05,758.3
2020-11-16,26 day ahead inc hosp,2020-12-12,06,quantile,0.05,768.5
2020-11-16,27 day ahead inc hosp,2020-12-13,06,quantile,0.05,778.7
2020-11-16,28 day ahead inc hosp,2020-12-14,06,quantile,0.05,789.1
2020-11-16,1 day ahead inc hosp,2020-11-17,06,quantile,0.1,551
2020-11-16,2 day ahead inc hosp,2020-11-18,06,quantile,0.1,559.2
2020-11-16,3 day ahead inc hosp,2020-11-19,06,quantile,0.1,567.5
2020-11-16,4 day ahead inc hosp,2020-11-20,06,quantile,0.1,575.9
2020-11-16,5 day ahead inc hosp,2020-11-21,06,quantile,0.1,584.3
2020-11-16,6 day ahead inc hosp,2020-11-22,06,quantile,0.1,592.9
2020-11-16,7 day ahead inc hosp,2020-11-23,06,quantile,0.1,601.5
2020-11-16,8 day ahead inc hosp,2020-11-24,06,quantile,0.1,610.2
2020-11-16,9 day ahead inc hosp,2020-11-25,06,quantile,0.1,619
2020-11-16,10 day ahead inc hosp,2020-11-26,06,quantile,0.1,627.9
2020-11-16,11 day ahead inc hosp,2020-11-27,06,quantile,0.1,636.8
2020-11-16,12 day ahead inc hosp,2020-11-28,06,quantile,0.1,645.9
2020-11-16,13 day ahead inc hosp,2020-11-29,06,quantile,0.1,655
2020-11-16,14 day ahead inc hosp,2020-11-30,06,quantile,0.1,664.3
2020-11-16,15 day ahead inc hosp,2020-12-01,06,quantile,0.1,673.6
2020-11-16,16 day ahead inc hosp,2020-12-02,06,quantile,0.1,683
2020-11-16,17 day ahead inc hosp,2020-12-03,06,quantile,0.1,692.5
2020-11-16,18 day ahead inc hosp,2020-12-04,06,quantile,0.1,702.1
2020-11-16,19 day ahead inc hosp,2020-12-05,06,quantile,0.1,711.7
2020-11-16,20 day ahead inc hosp,2020-12-06,06,quantile,0.1,721.5
2020-11-16,21 day ahead inc hosp,2020-12-07,06,quantile,0.1,731.3
2020-11-16,22 day ahead inc hosp,2020-12-08,06,quantile,0.1,741.2
2020-11-16,23 day ahead inc hosp,2020-12-09,06,quantile,0.1,751.2
2020-11-16,24 day ahead inc hosp,2020-12-10,06,quantile,0.1,761.3
2020-11-16,25 day ahead inc hosp,2020-12-11,06,quantile,0.1,771.4
2020-11-16,26 day ahead inc hosp,2020-12-12,06,quantile,0.1,781.6
2020-11-16,27 day ahead inc hosp,2020-12-13,06,quantile,0.1,792
2020-11-16,28 day ahead inc hosp,2020-12-14,06,quantile,0.1,802.3
2020-11-16,1 day ahead inc hosp,2020-11-17,06,quantile,0.15,558.7
2020-11-16,2 day ahead inc hosp,2020-11-18,06,quantile,0.15,567
2020-11-16,3 day ahead inc hosp,2020-11-19,06,quantile,0.15,575.3
2020-11-16,4 day ahead inc hosp,2020-11-20,06,quantile,0.15,583.7
2020-11-16,5 day ahead inc hosp,2020-11-21,06,quantile,0.15,592.2
2020-11-16,6 day ahead inc hosp,2020-11-22,06,quantile,0.15,600.8
2020-11-16,7 day ahead inc hosp,2020-11-23,06,quantile,0.15,609.5
2020-11-16,8 day ahead inc hosp,2020-11-24,06,quantile,0.15,618.2
2020-11-16,9 day ahead inc hosp,2020-11-25,06,quantile,0.15,627.1
2020-11-16,10 day ahead inc hosp,2020-11-26,06,quantile,0.15,636
2020-11-16,11 day ahead inc hosp,2020-11-27,06,quantile,0.15,645
2020-11-16,12 day ahead inc hosp,2020-11-28,06,quantile,0.15,654.1
2020-11-16,13 day ahead inc hosp,2020-11-29,06,quantile,0.15,663.3
2020-11-16,14 day ahead inc hosp,2020-11-30,06,quantile,0.15,672.6
2020-11-16,15 day ahead inc hosp,2020-12-01,06,quantile,0.15,681.9
2020-11-16,16 day ahead inc hosp,2020-12-02,06,quantile,0.15,691.4
2020-11-16,17 day ahead inc hosp,2020-12-03,06,quantile,0.15,700.9
2020-11-16,18 day ahead inc hosp,2020-12-04,06,quantile,0.15,710.6
2020-11-16,19 day ahead inc hosp,2020-12-05,06,quantile,0.15,720.3
2020-11-16,20 day ahead inc hosp,2020-12-06,06,quantile,0.15,730.1
2020-11-16,21 day ahead inc hosp,2020-12-07,06,quantile,0.15,739.9
2020-11-16,22 day ahead inc hosp,2020-12-08,06,quantile,0.15,749.9
2020-11-16,23 day ahead inc hosp,2020-12-09,06,quantile,0.15,759.9
2020-11-16,24 day ahead inc hosp,2020-12-10,06,quantile,0.15,770
2020-11-16,25 day ahead inc hosp,2020-12-11,06,quantile,0.15,780.2
2020-11-16,26 day ahead inc hosp,2020-12-12,06,quantile,0.15,790.5
2020-11-16,27 day ahead inc hosp,2020-12-13,06,quantile,0.15,800.9
2020-11-16,28 day ahead inc hosp,2020-12-14,06,quantile,0.15,811.3
2020-11-16,1 day ahead inc hosp,2020-11-17,06,quantile,0.2,564.9
2020-11-16,2 day ahead inc hosp,2020-11-18,06,quantile,0.2,573.2
2020-11-16,3 day ahead inc hosp,2020-11-19,06,quantile,0.2,581.5
2020-11-16,4 day ahead inc hosp,2020-11-20,06,quantile,0.2,590
2020-11-16,5 day ahead inc hosp,2020-11-21,06,quantile,0.2,598.5
2020-11-16,6 day ahead inc hosp,2020-11-22,06,quantile,0.2,607.1
2020-11-16,7 day ahead inc hosp,2020-11-23,06,quantile,0.2,615.8
2020-11-16,8 day ahead inc hosp,2020-11-24,06,quantile,0.2,624.6
2020-11-16,9 day ahead inc hosp,2020-11-25,06,quantile,0.2,633.5
2020-11-16,10 day ahead inc hosp,2020-11-26,06,quantile,0.2,642.4
2020-11-16,11 day ahead inc hosp,2020-11-27,06,quantile,0.2,651.5
2020-11-16,12 day ahead inc hosp,2020-11-28,06,quantile,0.2,660.6
2020-11-16,13 day ahead inc hosp,2020-11-29,06,quantile,0.2,669.9
2020-11-16,14 day ahead inc hosp,2020-11-30,06,quantile,0.2,679.2
2020-11-16,15 day ahead inc hosp,2020-12-01,06,quantile,0.2,688.6
2020-11-16,16 day ahead inc hosp,2020-12-02,06,quantile,0.2,698.1
2020-11-16,17 day ahead inc hosp,2020-12-03,06,quantile,0.2,707.6
2020-11-16,18 day ahead inc hosp,2020-12-04,06,quantile,0.2,717.3
2020-11-16,19 day ahead inc hosp,2020-12-05,06,quantile,0.2,727
2020-11-16,20 day ahead inc hosp,2020-12-06,06,quantile,0.2,736.9
2020-11-16,21 day ahead inc hosp,2020-12-07,06,quantile,0.2,746.8
2020-11-16,22 day ahead inc hosp,2020-12-08,06,quantile,0.2,756.8
2020-11-16,23 day ahead inc hosp,2020-12-09,06,quantile,0.2,766.9
2020-11-16,24 day ahead inc hosp,2020-12-10,06,quantile,0.2,777
2020-11-16,25 day ahead inc hosp,2020-12-11,06,quantile,0.2,787.2
2020-11-16,26 day ahead inc hosp,2020-12-12,06,quantile,0.2,797.6
2020-11-16,27 day ahead inc hosp,2020-12-13,06,quantile,0.2,808
2020-11-16,28 day ahead inc hosp,2020-12-14,06,quantile,0.2,818.4
2020-11-16,1 day ahead inc hosp,2020-11-17,06,quantile,0.25,570.1
2020-11-16,2 day ahead inc hosp,2020-11-18,06,quantile,0.25,578.5
2020-11-16,3 day ahead inc hosp,2020-11-19,06,quantile,0.25,586.9
2020-11-16,4 day ahead inc hosp,2020-11-20,06,quantile,0.25,595.3
2020-11-16,5 day ahead inc hosp,2020-11-21,06,quantile,0.25,603.9
2020-11-16,6 day ahead inc hosp,2020-11-22,06,quantile,0.25,612.5
2020-11-16,7 day ahead inc hosp,2020-11-23,06,quantile,0.25,621.3
2020-11-16,8 day ahead inc hosp,2020-11-24,06,quantile,0.25,630.1
2020-11-16,9 day ahead inc hosp,2020-11-25,06,quantile,0.25,639
2020-11-16,10 day ahead inc hosp,2020-11-26,06,quantile,0.25,648
2020-11-16,11 day ahead inc hosp,2020-11-27,06,quantile,0.25,657.1
2020-11-16,12 day ahead inc hosp,2020-11-28,06,quantile,0.25,666.2
2020-11-16,13 day ahead inc hosp,2020-11-29,06,quantile,0.25,675.5
