forecast_date,target,target_end_date,location,type,quantile,value
2021-05-10,1 wk ahead inc case,2021-05-15,06,quantile,0.025,6441
2021-05-10,2 wk ahead inc case,2021-05-22,06,quantile,0.025,4556
2021-05-10,3 wk ahead inc case,2021-05-29,06,quantile,0.025,3277
2021-05-10,4 wk ahead inc case,2021-06-05,06,quantile,0.025,2246
2021-05-10,1 wk ahead inc case,2021-05-15,06,quantile,0.1,7895
2021-05-10,2 wk ahead inc case,2021-05-22,06,quantile,0.1,5981
2021-05-10,3 wk ahead inc case,2021-05-29,06,quantile,0.1,4553
2021-05-10,4 wk ahead inc case,2021-06-05,06,quantile,0.1,3382
2021-05-10,1 wk ahead inc case,2021-05-15,06,quantile,0.25,9197
2021-05-10,2 wk ahead inc case,2021-05-22,06,quantile,0.25,7256
2021-05-10,3 wk ahead inc case,2021-05-29,06,quantile,0.25,5694
2021-05-10,4 wk ahead inc case,2021-06-05,06,quantile,0.25,4399
2021-05-10,1 wk ahead inc case,2021-05-15,06,quantile,0.5,10643
2021-05-10,2 wk ahead inc case,2021-05-22,06,quantile,0.5,8672
2021-05-10,3 wk ahead inc case,2021-05-29,06,quantile,0.5,6963
2021-05-10,4 wk ahead inc case,2021-06-05,06,quantile,0.5,5528
2021-05-10,1 wk ahead inc case,2021-05-15,06,quantile,0.75,12089
2021-05-10,2 wk ahead inc case,2021-05-22,06,quantile,0.75,10089
2021-05-10,3 wk ahead inc case,2021-05-29,06,quantile,0.75,8231
2021-05-10,4 wk ahead inc case,2021-06-05,06,quantile,0.75,6657
2021-05-10,1 wk ahead inc case,2021-05-15,06,quantile,0.9,13390
2021-05-10,2 wk ahead inc case,2021-05-22,06,quantile,0.9,11364
2021-05-10,3 wk ahead inc case,2021-05-29,06,quantile,0.9,9372
2021-05-10,4 wk ahead inc case,2021-06-05,06,quantile,0.9,7674
2021-05-10,1 wk ahead inc case,2021-05-15,06,quantile,0.975,14845
2021-05-10,2 wk ahead inc case,2021-05-22,06,quantile,0.975,12788
2021-05-10,3 wk ahead inc case,2021-05-29,06,quantile,0.975,10648
2021-05-10,4 wk ahead inc case,2021-06-05,06,quantile,0.975,8810
2021-05-10,1 wk ahead inc case,2021-05-15,06,point,NA,10643
2021-05-10,2 wk ahead inc case,2021-05-22,06,point,NA,8672
2021-05-10,3 wk ahead inc case,2021-05-29,06,point,NA,6963
2021-05-10,4 wk ahead inc case,2021-06-05,06,point,NA,5528
2021-05-10,1 day ahead inc hosp,2021-05-11,06,quantile,0.01,62.114
2021-05-10,2 day ahead inc hosp,2021-05-12,06,quantile,0.01,56.883
2021-05-10,3 day ahead inc hosp,2021-05-13,06,quantile,0.01,51.71
2021-05-10,4 day ahead inc hosp,2021-05-14,06,quantile,0.01,46.613
2021-05-10,5 day ahead inc hosp,2021-05-15,06,quantile,0.01,41.607
2021-05-10,6 day ahead inc hosp,2021-05-16,06,quantile,0.01,36.698
2021-05-10,7 day ahead inc hosp,2021-05-17,06,quantile,0.01,31.89
2021-05-10,8 day ahead inc hosp,2021-05-18,06,quantile,0.01,27.186
2021-05-10,9 day ahead inc hosp,2021-05-19,06,quantile,0.01,22.588
2021-05-10,10 day ahead inc hosp,2021-05-20,06,quantile,0.01,18.094
2021-05-10,11 day ahead inc hosp,2021-05-21,06,quantile,0.01,13.704
2021-05-10,12 day ahead inc hosp,2021-05-22,06,quantile,0.01,9.419
2021-05-10,13 day ahead inc hosp,2021-05-23,06,quantile,0.01,5.236
2021-05-10,14 day ahead inc hosp,2021-05-24,06,quantile,0.01,1.155
2021-05-10,15 day ahead inc hosp,2021-05-25,06,quantile,0.01,0
2021-05-10,16 day ahead inc hosp,2021-05-26,06,quantile,0.01,0
2021-05-10,17 day ahead inc hosp,2021-05-27,06,quantile,0.01,0
2021-05-10,18 day ahead inc hosp,2021-05-28,06,quantile,0.01,0
2021-05-10,19 day ahead inc hosp,2021-05-29,06,quantile,0.01,0
2021-05-10,20 day ahead inc hosp,2021-05-30,06,quantile,0.01,0
2021-05-10,21 day ahead inc hosp,2021-05-31,06,quantile,0.01,0
2021-05-10,22 day ahead inc hosp,2021-06-01,06,quantile,0.01,0
2021-05-10,23 day ahead inc hosp,2021-06-02,06,quantile,0.01,0
2021-05-10,24 day ahead inc hosp,2021-06-03,06,quantile,0.01,0
2021-05-10,25 day ahead inc hosp,2021-06-04,06,quantile,0.01,0
2021-05-10,26 day ahead inc hosp,2021-06-05,06,quantile,0.01,0
2021-05-10,27 day ahead inc hosp,2021-06-06,06,quantile,0.01,0
2021-05-10,28 day ahead inc hosp,2021-06-07,06,quantile,0.01,0
2021-05-10,1 day ahead inc hosp,2021-05-11,06,quantile,0.025,82.467
2021-05-10,2 day ahead inc hosp,2021-05-12,06,quantile,0.025,77.217
2021-05-10,3 day ahead inc hosp,2021-05-13,06,quantile,0.025,72.024
