forecast_date,target,target_end_date,location,type,quantile,value
2021-02-01,1 wk ahead inc case,2021-02-06,06,quantile,0.025,117366
2021-02-01,2 wk ahead inc case,2021-02-13,06,quantile,0.025,92981
2021-02-01,3 wk ahead inc case,2021-02-20,06,quantile,0.025,73133
2021-02-01,4 wk ahead inc case,2021-02-27,06,quantile,0.025,57130
2021-02-01,1 wk ahead inc case,2021-02-06,06,quantile,0.1,124002
2021-02-01,2 wk ahead inc case,2021-02-13,06,quantile,0.1,98942
2021-02-01,3 wk ahead inc case,2021-02-20,06,quantile,0.1,78476
2021-02-01,4 wk ahead inc case,2021-02-27,06,quantile,0.1,61911
2021-02-01,1 wk ahead inc case,2021-02-06,06,quantile,0.25,129940
2021-02-01,2 wk ahead inc case,2021-02-13,06,quantile,0.25,104275
2021-02-01,3 wk ahead inc case,2021-02-20,06,quantile,0.25,83256
2021-02-01,4 wk ahead inc case,2021-02-27,06,quantile,0.25,66189
2021-02-01,1 wk ahead inc case,2021-02-06,06,quantile,0.5,136537
2021-02-01,2 wk ahead inc case,2021-02-13,06,quantile,0.5,110201
2021-02-01,3 wk ahead inc case,2021-02-20,06,quantile,0.5,88568
2021-02-01,4 wk ahead inc case,2021-02-27,06,quantile,0.5,70942
2021-02-01,1 wk ahead inc case,2021-02-06,06,quantile,0.75,143134
2021-02-01,2 wk ahead inc case,2021-02-13,06,quantile,0.75,116127
2021-02-01,3 wk ahead inc case,2021-02-20,06,quantile,0.75,93880
2021-02-01,4 wk ahead inc case,2021-02-27,06,quantile,0.75,75696
2021-02-01,1 wk ahead inc case,2021-02-06,06,quantile,0.9,149072
2021-02-01,2 wk ahead inc case,2021-02-13,06,quantile,0.9,121461
2021-02-01,3 wk ahead inc case,2021-02-20,06,quantile,0.9,98661
2021-02-01,4 wk ahead inc case,2021-02-27,06,quantile,0.9,79974
2021-02-01,1 wk ahead inc case,2021-02-06,06,quantile,0.975,155707
2021-02-01,2 wk ahead inc case,2021-02-13,06,quantile,0.975,127421
2021-02-01,3 wk ahead inc case,2021-02-20,06,quantile,0.975,104003
2021-02-01,4 wk ahead inc case,2021-02-27,06,quantile,0.975,84754
2021-02-01,1 wk ahead inc case,2021-02-06,06,point,NA,136537
2021-02-01,2 wk ahead inc case,2021-02-13,06,point,NA,110201
2021-02-01,3 wk ahead inc case,2021-02-20,06,point,NA,88568
2021-02-01,4 wk ahead inc case,2021-02-27,06,point,NA,70942
2021-02-01,1 day ahead inc hosp,2021-02-02,06,quantile,0.01,1053.6
2021-02-01,2 day ahead inc hosp,2021-02-03,06,quantile,0.01,1017.2
2021-02-01,3 day ahead inc hosp,2021-02-04,06,quantile,0.01,981.8
2021-02-01,4 day ahead inc hosp,2021-02-05,06,quantile,0.01,947.4
