forecast_date,target,target_end_date,location,type,quantile,value
2021-02-08,1 wk ahead inc case,2021-02-13,06,quantile,0.025,98832
2021-02-08,2 wk ahead inc case,2021-02-20,06,quantile,0.025,94231
2021-02-08,3 wk ahead inc case,2021-02-27,06,quantile,0.025,89495
2021-02-08,4 wk ahead inc case,2021-03-06,06,quantile,0.025,84502
2021-02-08,1 wk ahead inc case,2021-02-13,06,quantile,0.1,105222
2021-02-08,2 wk ahead inc case,2021-02-20,06,quantile,0.1,100488
2021-02-08,3 wk ahead inc case,2021-02-27,06,quantile,0.1,95609
2021-02-08,4 wk ahead inc case,2021-03-06,06,quantile,0.1,90462
2021-02-08,1 wk ahead inc case,2021-02-13,06,quantile,0.25,110939
2021-02-08,2 wk ahead inc case,2021-02-20,06,quantile,0.25,106087
2021-02-08,3 wk ahead inc case,2021-02-27,06,quantile,0.25,101080
2021-02-08,4 wk ahead inc case,2021-03-06,06,quantile,0.25,95794
2021-02-08,1 wk ahead inc case,2021-02-13,06,quantile,0.5,117292
2021-02-08,2 wk ahead inc case,2021-02-20,06,quantile,0.5,112307
2021-02-08,3 wk ahead inc case,2021-02-27,06,quantile,0.5,107159
2021-02-08,4 wk ahead inc case,2021-03-06,06,quantile,0.5,101719
2021-02-08,1 wk ahead inc case,2021-02-13,06,quantile,0.75,123645
2021-02-08,2 wk ahead inc case,2021-02-20,06,quantile,0.75,118528
2021-02-08,3 wk ahead inc case,2021-02-27,06,quantile,0.75,113238
2021-02-08,4 wk ahead inc case,2021-03-06,06,quantile,0.75,107644
2021-02-08,1 wk ahead inc case,2021-02-13,06,quantile,0.9,129362
2021-02-08,2 wk ahead inc case,2021-02-20,06,quantile,0.9,124127
2021-02-08,3 wk ahead inc case,2021-02-27,06,quantile,0.9,118709
2021-02-08,4 wk ahead inc case,2021-03-06,06,quantile,0.9,112977
2021-02-08,1 wk ahead inc case,2021-02-13,06,quantile,0.975,135751
2021-02-08,2 wk ahead inc case,2021-02-20,06,quantile,0.975,130384
2021-02-08,3 wk ahead inc case,2021-02-27,06,quantile,0.975,124824
2021-02-08,4 wk ahead inc case,2021-03-06,06,quantile,0.975,118936
2021-02-08,1 wk ahead inc case,2021-02-13,06,point,NA,117292
2021-02-08,2 wk ahead inc case,2021-02-20,06,point,NA,112307
2021-02-08,3 wk ahead inc case,2021-02-27,06,point,NA,107159
2021-02-08,4 wk ahead inc case,2021-03-06,06,point,NA,101719
2021-02-08,1 day ahead inc hosp,2021-02-09,06,quantile,0.01,937.9
2021-02-08,2 day ahead inc hosp,2021-02-10,06,quantile,0.01,931.3
2021-02-08,3 day ahead inc hosp,2021-02-11,06,quantile,0.01,924.8
2021-02-08,4 day ahead inc hosp,2021-02-12,06,quantile,0.01,918.3
2021-02-08,5 day ahead inc hosp,2021-02-13,06,quantile,0.01,911.8
2021-02-08,6 day ahead inc hosp,2021-02-14,06,quantile,0.01,905.2
2021-02-08,7 day ahead inc hosp,2021-02-15,06,quantile,0.01,898.6
2021-02-08,8 day ahead inc hosp,2021-02-16,06,quantile,0.01,892
2021-02-08,9 day ahead inc hosp,2021-02-17,06,quantile,0.01,885.3
2021-02-08,10 day ahead inc hosp,2021-02-18,06,quantile,0.01,878.5
