forecast_date,target,target_end_date,location,type,quantile,value
2021-04-12,1 wk ahead inc case,2021-04-17,06,quantile,0.025,11179
2021-04-12,2 wk ahead inc case,2021-04-24,06,quantile,0.025,9270
2021-04-12,3 wk ahead inc case,2021-05-01,06,quantile,0.025,7974
2021-04-12,4 wk ahead inc case,2021-05-08,06,quantile,0.025,6833
2021-04-12,1 wk ahead inc case,2021-04-17,06,quantile,0.1,13161
2021-04-12,2 wk ahead inc case,2021-04-24,06,quantile,0.1,11301
2021-04-12,3 wk ahead inc case,2021-05-01,06,quantile,0.1,9894
2021-04-12,4 wk ahead inc case,2021-05-08,06,quantile,0.1,8647
2021-04-12,1 wk ahead inc case,2021-04-17,06,quantile,0.25,14934
2021-04-12,2 wk ahead inc case,2021-04-24,06,quantile,0.25,13118
2021-04-12,3 wk ahead inc case,2021-05-01,06,quantile,0.25,11612
2021-04-12,4 wk ahead inc case,2021-05-08,06,quantile,0.25,10271
2021-04-12,1 wk ahead inc case,2021-04-17,06,quantile,0.5,16904
2021-04-12,2 wk ahead inc case,2021-04-24,06,quantile,0.5,15138
2021-04-12,3 wk ahead inc case,2021-05-01,06,quantile,0.5,13520
2021-04-12,4 wk ahead inc case,2021-05-08,06,quantile,0.5,12075
2021-04-12,1 wk ahead inc case,2021-04-17,06,quantile,0.75,18874
2021-04-12,2 wk ahead inc case,2021-04-24,06,quantile,0.75,17157
2021-04-12,3 wk ahead inc case,2021-05-01,06,quantile,0.75,15429
2021-04-12,4 wk ahead inc case,2021-05-08,06,quantile,0.75,13880
2021-04-12,1 wk ahead inc case,2021-04-17,06,quantile,0.9,20648
2021-04-12,2 wk ahead inc case,2021-04-24,06,quantile,0.9,18974
2021-04-12,3 wk ahead inc case,2021-05-01,06,quantile,0.9,17147
2021-04-12,4 wk ahead inc case,2021-05-08,06,quantile,0.9,15503
2021-04-12,1 wk ahead inc case,2021-04-17,06,quantile,0.975,22629
2021-04-12,2 wk ahead inc case,2021-04-24,06,quantile,0.975,21005
2021-04-12,3 wk ahead inc case,2021-05-01,06,quantile,0.975,19067
2021-04-12,4 wk ahead inc case,2021-05-08,06,quantile,0.975,17318
2021-04-12,1 wk ahead inc case,2021-04-17,06,point,NA,16904
2021-04-12,2 wk ahead inc case,2021-04-24,06,point,NA,15138
2021-04-12,3 wk ahead inc case,2021-05-01,06,point,NA,13520
2021-04-12,4 wk ahead inc case,2021-05-08,06,point,NA,12075
2021-04-12,1 day ahead inc hosp,2021-04-13,06,quantile,0.01,106.72
2021-04-12,2 day ahead inc hosp,2021-04-14,06,quantile,0.01,102.93
2021-04-12,3 day ahead inc hosp,2021-04-15,06,quantile,0.01,99.15
2021-04-12,4 day ahead inc hosp,2021-04-16,06,quantile,0.01,95.4
2021-04-12,5 day ahead inc hosp,2021-04-17,06,quantile,0.01,91.68
2021-04-12,6 day ahead inc hosp,2021-04-18,06,quantile,0.01,88.01
2021-04-12,7 day ahead inc hosp,2021-04-19,06,quantile,0.01,84.39
2021-04-12,8 day ahead inc hosp,2021-04-20,06,quantile,0.01,80.83
2021-04-12,9 day ahead inc hosp,2021-04-21,06,quantile,0.01,77.32
2021-04-12,10 day ahead inc hosp,2021-04-22,06,quantile,0.01,73.86
2021-04-12,11 day ahead inc hosp,2021-04-23,06,quantile,0.01,70.46
2021-04-12,12 day ahead inc hosp,2021-04-24,06,quantile,0.01,67.12
2021-04-12,13 day ahead inc hosp,2021-04-25,06,quantile,0.01,63.82
2021-04-12,14 day ahead inc hosp,2021-04-26,06,quantile,0.01,60.58
2021-04-12,15 day ahead inc hosp,2021-04-27,06,quantile,0.01,57.39
2021-04-12,16 day ahead inc hosp,2021-04-28,06,quantile,0.01,54.26
2021-04-12,17 day ahead inc hosp,2021-04-29,06,quantile,0.01,51.17
2021-04-12,18 day ahead inc hosp,2021-04-30,06,quantile,0.01,48.13
2021-04-12,19 day ahead inc hosp,2021-05-01,06,quantile,0.01,45.15
