state_name,county_name,fips_code,date,cases_per_100K_7_day_count_change,percent_test_results_reported_positive_last_7_days,community_transmission_level
California,Marin County,06041,03/04/2020,0.000,0.00,low
California,San Benito County,06069,03/04/2020,0.000,,low
California,Sierra County,06091,03/04/2020,0.000,,low
California,Alameda County,06001,03/04/2020,suppressed,6.45,low
California,Amador County,06005,03/04/2020,0.000,,low
California,Lassen County,06035,03/04/2020,0.000,,low
California,Nevada County,06057,03/04/2020,0.000,,low
California,Ventura County,06111,03/04/2020,0.000,40.00,low
California,Alpine County,06003,03/04/2020,0.000,,low
California,Colusa County,06011,03/04/2020,0.000,,low
California,Del Norte County,06015,03/04/2020,0.000,,low
California,Inyo County,06027,03/04/2020,0.000,,low
California,Plumas County,06063,03/04/2020,0.000,,low
California,Sacramento County,06067,03/04/2020,0.000,0.00,low
California,Stanislaus County,06099,03/04/2020,0.000,0.00,low
California,El Dorado County,06017,03/04/2020,0.000,,low
California,San Mateo County,06081,03/04/2020,suppressed,13.33,low
California,Sonoma County,06097,03/04/2020,suppressed,66.67,low
California,Glenn County,06021,03/04/2020,0.000,,low
California,Mariposa County,06043,03/04/2020,0.000,,low
California,San Bernardino County,06071,03/04/2020,0.000,0.00,low
California,San Luis Obispo County,06079,03/04/2020,0.000,,low
California,Yolo County,06113,03/04/2020,0.000,0.00,low
California,Alameda County,06001,03/20/2020,1.795,7.71,moderate
California,Kings County,06031,03/20/2020,0.000,0.00,low
California,Madera County,06039,03/20/2020,suppressed,4.35,low
California,Mariposa County,06043,03/20/2020,0.000,,low
California,Nevada County,06057,03/20/2020,suppressed,2.78,low
California,San Diego County,06073,03/20/2020,2.666,9.64,substantial
California,Sierra County,06091,03/20/2020,0.000,,low
California,Yuba County,06115,03/20/2020,0.000,0.00,low
California,Humboldt County,06023,03/20/2020,0.000,1.09,low
California,Imperial County,06025,03/20/2020,0.000,,high
California,Kern County,06029,03/20/2020,suppressed,2.55,low
California,Lake County,06033,03/20/2020,0.000,0.00,low
California,Modoc County,06049,03/20/2020,0.000,,low
California,San Luis Obispo County,06079,03/20/2020,3.885,9.03,substantial
California,Santa Barbara County,06083,03/20/2020,suppressed,3.23,low
California,Colusa County,06011,03/20/2020,0.000,,low
California,Contra Costa County,06013,03/20/2020,2.601,7.02,moderate
California,Fresno County,06019,03/20/2020,suppressed,1.97,low
California,Lassen County,06035,03/20/2020,suppressed,,low
California,Sonoma County,06097,03/20/2020,suppressed,7.45,moderate
California,Tehama County,06103,03/20/2020,0.000,0.00,low
California,Tuolumne County,06109,03/20/2020,0.000,0.00,low
California,Amador County,06005,03/20/2020,0.000,,low
California,Sacramento County,06067,03/20/2020,2.448,4.83,low
California,San Bernardino County,06071,03/20/2020,suppressed,6.82,moderate
California,Shasta County,06089,03/20/2020,0.000,0.00,low
California,Solano County,06095,03/20/2020,suppressed,6.62,moderate
California,Sutter County,06101,03/20/2020,0.000,0.00,low
California,Mendocino County,06045,03/20/2020,suppressed,2.44,low
California,Mono County,06051,03/20/2020,0.000,,low
California,Napa County,06055,03/20/2020,0.000,0.00,low
California,Riverside County,06065,03/20/2020,0.607,3.80,low
California,San Mateo County,06081,03/20/2020,6.262,15.42,high
California,Santa Cruz County,06087,03/20/2020,suppressed,4.93,low
California,Marin County,06041,03/20/2020,10.432,10.42,high
California,Merced County,06047,03/20/2020,0.000,0.00,low
California,Monterey County,06053,03/20/2020,suppressed,8.25,substantial
California,Plumas County,06063,03/20/2020,0.000,,low
California,San Benito County,06069,03/20/2020,suppressed,23.08,high
California,San Joaquin County,06077,03/20/2020,1.575,9.09,substantial
California,Trinity County,06105,03/20/2020,0.000,,low
California,Santa Clara County,06085,03/20/2020,9.700,15.51,high
California,Siskiyou County,06093,03/20/2020,0.000,,low
California,Stanislaus County,06099,03/20/2020,suppressed,1.17,low
California,Tulare County,06107,03/20/2020,suppressed,3.80,low
California,Butte County,06007,03/20/2020,0.000,0.00,low
California,Calaveras County,06009,03/20/2020,0.000,,low
California,Glenn County,06021,03/20/2020,0.000,,low
California,Inyo County,06027,03/20/2020,0.000,,low
California,Orange County,06059,03/20/2020,2.078,11.15,high
California,Placer County,06061,03/20/2020,suppressed,4.95,low
California,San Francisco County,06075,03/20/2020,6.693,23.44,high
California,Ventura County,06111,03/20/2020,1.537,4.55,low
California,Yolo County,06113,03/20/2020,suppressed,5.26,moderate
California,Alpine County,06003,03/20/2020,0.000,,low
California,Del Norte County,06015,03/20/2020,0.000,,low
California,El Dorado County,06017,03/20/2020,suppressed,3.23,low
California,Los Angeles County,06037,03/20/2020,2.371,11.18,high
California,Calaveras County,06009,03/23/2020,0.000,,low
California,Kern County,06029,03/23/2020,suppressed,2.70,low
California,Lassen County,06035,03/23/2020,suppressed,,low
California,Mono County,06051,03/23/2020,suppressed,,low
California,Sierra County,06091,03/23/2020,0.000,,low
California,Trinity County,06105,03/23/2020,0.000,,low
California,Tulare County,06107,03/23/2020,suppressed,3.94,low
California,Amador County,06005,03/23/2020,suppressed,,low
California,Del Norte County,06015,03/23/2020,0.000,,low
California,Napa County,06055,03/23/2020,suppressed,4.08,low
California,Nevada County,06057,03/23/2020,suppressed,2.20,low
California,San Benito County,06069,03/23/2020,suppressed,11.11,high
California,Santa Barbara County,06083,03/23/2020,4.031,6.27,moderate
California,Yuba County,06115,03/23/2020,suppressed,4.55,low
California,Butte County,06007,03/23/2020,suppressed,3.19,low
California,Humboldt County,06023,03/23/2020,suppressed,0.71,low
California,Imperial County,06025,03/23/2020,0.000,25.00,high
California,Merced County,06047,03/23/2020,0.000,0.97,low
California,Santa Cruz County,06087,03/23/2020,4.392,6.83,moderate
California,Yolo County,06113,03/23/2020,suppressed,5.19,moderate
California,Alpine County,06003,03/23/2020,0.000,,low
California,El Dorado County,06017,03/23/2020,suppressed,2.65,low
California,Inyo County,06027,03/23/2020,0.000,,low
California,Los Angeles County,06037,03/23/2020,3.456,13.16,high
California,Marin County,06041,03/23/2020,10.045,12.46,high
California,Modoc County,06049,03/23/2020,0.000,,low
California,Riverside County,06065,03/23/2020,1.295,5.27,moderate
California,San Francisco County,06075,03/23/2020,12.705,35.18,high
